measure_id,blind_id,trial_number,trial_id,condition,condition_label,claim_id,component_id,category,preservation_score,distortion_score
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T06,M02-T06-C05,distributional_effect,0,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T07,M02-T07-C01,policy_change,0,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T07,M02-T07-C02,policy_change,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T08,M02-T08-C01,accountability,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T09,M02-T09-C01,baseline_context,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T09,M02-T09-C02,baseline_context,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T10,M02-T10-C01,baseline_context,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T10,M02-T10-C02,baseline_context,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T10,M02-T10-C03,baseline_context,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T10,M02-T10-C04,baseline_context,0,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T11,M02-T11-C01,fiscal_mechanism,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T11,M02-T11-C02,fiscal_mechanism,0,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T12,M02-T12-C01,funding_allocation,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T12,M02-T12-C02,funding_allocation,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T12,M02-T12-C03,funding_allocation,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T13,M02-T13-C01,funding_allocation,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T13,M02-T13-C02,funding_allocation,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T13,M02-T13-C03,funding_allocation,1,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T13,M02-T13-C04,funding_allocation,0,0
M02,M02-B004,2,M02-trial02,critic_debate,Critic debate,M02-T14,M02-T14-C01,affected_groups,1,0
