measure_id,trial_id,trial_number,blind_id,condition,condition_label,claim_weighted_preservation,component_weighted_preservation,mean_component_distortion_severity,any_distortion_rate,material_distortion_rate,n_claims,n_components
M07,M07-trial01,1,M07-B016,critic_debate,Critic debate,1.0,1.0,0.0,0.0,0.0,8,22
M08,M08-trial04,4,M08-B001,critic_debate,Critic debate,0.9777777777777779,0.9642857142857143,0.07142857142857142,0.07142857142857142,0.0,9,28
M08,M08-trial01,1,M08-B002,normal_debate,Normal debate,1.0,1.0,0.0,0.0,0.0,9,28
M08,M08-trial02,2,M08-B003,normal_debate,Normal debate,0.9444444444444444,0.9285714285714286,0.0,0.0,0.0,9,28
M08,M08-trial03,3,M08-B004,normal_debate,Normal debate,1.0,1.0,0.0,0.0,0.0,9,28
M08,M08-trial04,4,M08-B005,independent_ensemble,Independent ensemble,0.9722222222222222,0.9642857142857143,0.0,0.0,0.0,9,28
M08,M08-trial03,3,M08-B006,single_agent,Single agent,0.8388888888888889,0.8214285714285714,0.07142857142857142,0.07142857142857142,0.0,9,28
M08,M08-trial02,2,M08-B007,independent_ensemble,Independent ensemble,0.9722222222222222,0.9642857142857143,0.0,0.0,0.0,9,28
M08,M08-trial04,4,M08-B008,normal_debate,Normal debate,0.9777777777777779,0.9642857142857143,0.03571428571428571,0.03571428571428571,0.0,9,28
M08,M08-trial01,1,M08-B009,single_agent,Single agent,0.9629629629629629,0.9642857142857143,0.03571428571428571,0.03571428571428571,0.0,9,28
M08,M08-trial02,2,M08-B010,single_agent,Single agent,0.9277777777777777,0.8928571428571429,0.07142857142857142,0.07142857142857142,0.0,9,28
M08,M08-trial02,2,M08-B011,critic_debate,Critic debate,1.0,1.0,0.0,0.0,0.0,9,28
M08,M08-trial03,3,M08-B012,critic_debate,Critic debate,0.9777777777777779,0.9642857142857143,0.03571428571428571,0.03571428571428571,0.0,9,28
M08,M08-trial03,3,M08-B013,independent_ensemble,Independent ensemble,0.9722222222222222,0.9642857142857143,0.0,0.0,0.0,9,28
M08,M08-trial01,1,M08-B014,independent_ensemble,Independent ensemble,0.9722222222222222,0.9642857142857143,0.0,0.0,0.0,9,28
M08,M08-trial04,4,M08-B015,single_agent,Single agent,0.9722222222222222,0.9642857142857143,0.0,0.0,0.0,9,28
M08,M08-trial01,1,M08-B016,critic_debate,Critic debate,1.0,1.0,0.0,0.0,0.0,9,28
M09,M09-trial01,1,M09-B001,normal_debate,Normal debate,0.9666666666666666,0.96,0.04,0.04,0.0,10,25
M09,M09-trial01,1,M09-B002,critic_debate,Critic debate,0.9666666666666666,0.96,0.08,0.04,0.04,10,25
M09,M09-trial02,2,M09-B003,independent_ensemble,Independent ensemble,0.9666666666666666,0.96,0.08,0.04,0.04,10,25
M09,M09-trial04,4,M09-B004,single_agent,Single agent,0.9666666666666666,0.96,0.04,0.04,0.0,10,25
M09,M09-trial02,2,M09-B005,normal_debate,Normal debate,0.9666666666666666,0.96,0.04,0.04,0.0,10,25
M09,M09-trial03,3,M09-B006,independent_ensemble,Independent ensemble,0.9666666666666666,0.96,0.04,0.04,0.0,10,25
M09,M09-trial04,4,M09-B007,critic_debate,Critic debate,0.9666666666666666,0.96,0.04,0.04,0.0,10,25
M09,M09-trial01,1,M09-B008,independent_ensemble,Independent ensemble,0.9666666666666666,0.96,0.08,0.04,0.04,10,25
M09,M09-trial03,3,M09-B009,critic_debate,Critic debate,0.9666666666666666,0.96,0.08,0.04,0.04,10,25
M09,M09-trial04,4,M09-B010,normal_debate,Normal debate,0.9666666666666666,0.96,0.04,0.04,0.0,10,25
M09,M09-trial02,2,M09-B011,critic_debate,Critic debate,0.9666666666666666,0.96,0.04,0.04,0.0,10,25
M09,M09-trial03,3,M09-B012,normal_debate,Normal debate,0.9666666666666666,0.96,0.04,0.04,0.0,10,25
